name,category,subcategory,address,city,country,latitude,longitude,accepts_dogs,accepts_cats,dogs_on_leash_only,outdoor_seating,water_bowl_provided,has_toilets,has_shade,has_dog_area,has_fuel,rating,description,verified,source
Aire de service,station_carburant,autoroute,,,France,50.8796456,0.2306794,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Dienstenzone Groot Bijgaarden-Zuid,station_carburant,autoroute,,,France,50.8795054,4.2541278,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de service,station_carburant,autoroute,,,France,50.8752974,5.9757957,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de service,station_carburant,autoroute,,,France,50.8710901,6.0161448,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire des 2 Caps,station_carburant,autoroute,,,France,50.8613665,1.7354307,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de service,station_carburant,autoroute,,,France,50.8585707,6.0014448,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Ville Ost,station_carburant,autoroute,,,France,50.857783,6.8060072,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Ville West,station_carburant,autoroute,,,France,50.8575436,6.8045718,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Heverlee Noord,station_carburant,autoroute,,,France,50.8539355,4.65872,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Heverlee Zuid,station_carburant,autoroute,,,France,50.8523249,4.6583619,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de service,station_carburant,autoroute,,,France,50.8347042,9.0377056,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de service,station_carburant,autoroute,,,France,50.8342463,9.5734351,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Autohof Kirchheim,station_carburant,autoroute,,Kirchheim,France,50.8341083,9.5736112,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant. (Kirchheim),TRUE,osm
Rasthof Kirchheim,station_carburant,autoroute,,,France,50.8309421,9.5765035,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de service,station_carburant,autoroute,,,France,50.8290136,0.2368377,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de Saint-Éloi,station_carburant,autoroute,,,France,50.8289642,2.5814524,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de Saint-Laurent,station_carburant,autoroute,,,France,50.8275561,2.5840995,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
