name,category,subcategory,address,city,country,latitude,longitude,accepts_dogs,accepts_cats,dogs_on_leash_only,outdoor_seating,water_bowl_provided,has_toilets,has_shade,has_dog_area,has_fuel,rating,description,verified,source
Krautseifen,aire_repos,autoroute,,,France,50.8922215,7.9271565,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Am Lindenberg,aire_repos,autoroute,,,France,50.8915644,7.9269146,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.8844536,8.0195518,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.8805358,0.598166,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.8772355,8.455849,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.873269,4.611785,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,3.8,Aire de repos.,TRUE,osm
Parking Everberg-Noord,aire_repos,autoroute,,,France,50.8699153,4.5452763,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,3.8,Aire de repos.,TRUE,osm
Parking Everberg-Zuid,aire_repos,autoroute,,,France,50.8687349,4.5451815,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.8644407,8.427022,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.8618543,7.8484671,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de Nortkerque,aire_repos,autoroute,,,France,50.8611913,2.021755,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,3.8,Aire de repos.,TRUE,osm
Sülztal,aire_repos,autoroute,,,France,50.860457,7.2121147,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.8562551,4.4650089,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de Zutkerque,aire_repos,autoroute,,,France,50.8472216,2.0321128,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.8428978,8.3915712,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.8418475,8.7810306,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.8374018,7.446219,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,3.8,Aire de repos.,TRUE,osm
Rur-Scholle,aire_repos,autoroute,,,France,50.8365325,6.4229757,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Rur-Scholle,aire_repos,autoroute,,,France,50.8344086,6.4240644,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,3.8,Aire de repos.,TRUE,osm
Grensovergang Heerlen Autoweg,aire_repos,autoroute,,,France,50.8194757,6.024287,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,3.8,Aire de repos.,TRUE,osm
Honsem,aire_repos,autoroute,,,France,50.8190324,4.8453919,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.8174633,8.7739597,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.8089976,8.8246204,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.8067898,7.2416688,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.8065883,7.2483832,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.8022854,8.7758536,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Barnholz,aire_repos,autoroute,,,France,50.8012878,9.4990283,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.7995868,8.7688302,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.7947211,7.274755,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Rimberg,aire_repos,autoroute,,,France,50.7925805,9.4728384,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Am alten Hau,aire_repos,autoroute,,,France,50.78714,6.8446579,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Am alten Hau,aire_repos,autoroute,,,France,50.7866603,6.8452033,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.7862468,-2.0263514,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Strampen,aire_repos,autoroute,,,France,50.7835224,9.5564837,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.7828563,3.9349239,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.7827935,7.2263038,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,3.8,Aire de repos.,TRUE,osm
Aire de repos,aire_repos,autoroute,,,France,50.7813139,6.0800578,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,3.8,Aire de repos.,TRUE,osm
