name,category,subcategory,address,city,country,latitude,longitude,accepts_dogs,accepts_cats,dogs_on_leash_only,outdoor_seating,water_bowl_provided,rating,description,verified,source,opening_hours
Station 21 Bazet,station_carburant,,21 route Départementale 935,Bazet,France,43.287937,0.068854,true,false,true,false,false,,⛽ Diesel. 🚻 Toilettes  🛒 Boutique  🛒 Boutique  🔧 Gonflage. (65460 Bazet),true,prix_carburants_gouv,
Station 10 Rodez,station_carburant,,10 bis Avenue de la Gineste,Rodez,France,44.362,2.572,true,false,true,false,false,,"⛽ Diesel, E85, E10, SP98. 🛒 Boutique  🛒 Boutique  🔧 Gonflage  🏕️ Camping-cars. (12000 Rodez)",true,prix_carburants_gouv,Ouvert 24h/24
Station AUTOROUTE Chavagnes-en-Paillers,station_carburant,,AUTOROUTE A83AIRE DE CHAVAGNES EN PAILLERS,Chavagnes-en-Paillers,France,46.874,-1.284,true,false,true,false,false,,"⛽ Diesel, E85, GPL, E10, SP98. 🚻 Toilettes  🛒 Boutique  🛒 Boutique  🍽️ Restauration. (85250 Chavagnes-en-Paillers)",true,prix_carburants_gouv,Ouvert 24h/24
Station ROUTE Rungis,station_carburant,,ROUTE DE CHOISY - RN186,Rungis,France,48.753,2.361,true,false,true,false,false,,"⛽ Diesel, E10, SP98. 💳 CB 24h/24. (94000 Rungis)",true,prix_carburants_gouv,Ouvert 24h/24
Station Rue Châtellerault,station_carburant,,Rue du Paradis,Châtellerault,France,46.79896,0.54931,true,false,true,false,false,,"⛽ Diesel, E10, SP98. 🛒 Boutique  🛒 Boutique  🍽️ Restauration  🔧 Gonflage. (86100 Châtellerault)",true,prix_carburants_gouv,
Station AUTOROUTE Saint-André-de-Cubzac,station_carburant,,AUTOROUTE A10 - AIRE DE L'ESTALOT,Saint-André-de-Cubzac,France,44.97903,-0.430828,true,false,true,false,false,,"⛽ Diesel, E85, GPL, E10, SP98. 🚻 Toilettes  🛒 Boutique  🛒 Boutique  🍽️ Restauration. (33240 Saint-André-de-Cubzac)",true,prix_carburants_gouv,
Station route Perpignan,station_carburant,,route de canet,Perpignan,France,42.701,2.944,true,false,true,false,false,,"⛽ Diesel, SP95, E85, E10, SP98. 💳 CB 24h/24. (66000 Perpignan)",true,prix_carburants_gouv,Ouvert 24h/24
Station 20 Le Maisnil,station_carburant,,20 rue du haut quesnoy,Le Maisnil,France,50.613,2.883,true,false,true,false,false,,"⛽ Diesel, E85, E10, SP98. 📦 Relais colis  🛒 Boutique  🛒 Boutique  🔵 Gaz. (59134 Le Maisnil)",true,prix_carburants_gouv,Ouvert 24h/24
Station ROND Graulhet,station_carburant,,ROND POINT RHIN ET DANUBE,Graulhet,France,43.761,1.97,true,false,true,false,false,,"⛽ Diesel, SP95, E85, E10, SP98. 🔵 Gaz  💳 CB 24h/24. (81300 Graulhet)",true,prix_carburants_gouv,Ouvert 24h/24
Station 89 Montaigu-Vendée,station_carburant,,89 RUE DURIVUM,Montaigu-Vendée,France,46.945232,-1.29076,true,false,true,false,false,,"⛽ Diesel, SP98. 🚗 Lavage  🔵 Gaz  💳 CB 24h/24. (85600 Montaigu-Vendée)",true,prix_carburants_gouv,Ouvert 24h/24
